"Model","m","n","phi","q","p","S","TopKList","MaxRank","Rule","Metric","Value","lambda"
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.3866149002578891,0.30000000000000004
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.4594845883690165,0.30000000000000004
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.5624262303751766,0.30000000000000004
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","SDM","Gap",0.4925886303471977,0.30000000000000004
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Fallback","Gap",0.4896898271459037,0.30000000000000004
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Borda","Gap",0.4363341599336729,0.4
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.35879660179292433,0.4
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.44442512964013586,0.4
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.6091587335580527,0.4
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","SDM","Gap",0.5039050100209284,0.4
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Fallback","Gap",0.48412882866798873,0.4
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Borda","Gap",0.4251031523922397,0.5
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.3304078611830598,0.5
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.43505786404768537,0.5
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.658234565701668,0.5
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","SDM","Gap",0.5224939960105814,0.5
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Fallback","Gap",0.4868641813786491,0.5
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Borda","Gap",0.4146880635550043,0.6000000000000001
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.30689326540172074,0.6000000000000001
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.4213795722091246,0.6000000000000001
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.7003666515453155,0.6000000000000001
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","SDM","Gap",0.5518294194633047,0.6000000000000001
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Fallback","Gap",0.4808821554913335,0.6000000000000001
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Borda","Gap",0.39380886844893337,0.7000000000000001
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.27976592098227926,0.7000000000000001
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.4010499374086143,0.7000000000000001
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.7507201197833752,0.7000000000000001
