"lambda","R_C","R_CE","D"
0.2,0.1126666666666668,0.26616915422885573,0.26748508119688547
0.5,0.21899999999999997,0.12379280070237048,0.24943550838790288
0.8,0.12766666666666626,0.12039800995024874,0.17548349944583927
1,0.05699999999999972,0.03494176372712146,0.06685751156274027
