"Model","m","n","phi","S","MaxRank","lambda","Rule","q","p","Metric","Value"
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.55,,"Gap",0.5046030297802754
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.55,,"CondorcetEfficiency",0.5978441127694859
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.55,,"CondorcetExistRate",0.603
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.55,,"MidScore",0.5965
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.6666666666666666,,"Top1Acceptability",0.1448823529411762
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.6666666666666666,,"Top2Acceptability",0.2927352941176467
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.6666666666666666,,"Gap",0.5061818289755948
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.6666666666666666,,"CondorcetEfficiency",0.5174129353233831
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.6666666666666666,,"CondorcetExistRate",0.603
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.6666666666666666,,"MidScore",0.6848333333333335
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.8,,"Top1Acceptability",0.13252941176470562
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.8,,"Top2Acceptability",0.27921568627450943
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.8,,"Gap",0.5245879508365577
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.8,,"CondorcetEfficiency",0.42122719734660036
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.8,,"CondorcetExistRate",0.603
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.8,,"MidScore",0.6853333333333335
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.95,,"Top1Acceptability",0.14255882352941152
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.95,,"Top2Acceptability",0.2884509803921565
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.95,,"Gap",0.5074081466403991
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.95,,"CondorcetEfficiency",0.23548922056384744
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.95,,"CondorcetExistRate",0.603
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.95,,"MidScore",0.472
"OppPrefs",7,51,0.15,2000,"Automatic",0.30000000000000004,"QR",0.55,,"Top1Acceptability",0.1393725490196076
"OppPrefs",7,51,0.15,2000,"Automatic",0.30000000000000004,"QR",0.55,,"Top2Acceptability",0.28360784313725457
"OppPrefs",7,51,0.15,2000,"Automatic",0.30000000000000004,"QR",0.55,,"Gap",0.5119384667659957
"OppPrefs",7,51,0.15,2000,"Automatic",0.30000000000000004,"QR",0.55,,"CondorcetEfficiency",0.5222129086336965
"OppPrefs",7,51,0.15,2000,"Automatic",0.30000000000000004,"QR",0.55,,"CondorcetExistRate",0.5965
"OppPrefs",7,51,0.15,2000,"Automatic",0.30000000000000004,"QR",0.55,,"MidScore",0.6963333333333335
"OppPrefs",7,51,0.15,2000,"Automatic",0.30000000000000004,"QR",0.6666666666666666,,"Top1Acceptability",0.12295098039215666
"OppPrefs",7,51,0.15,2000,"Automatic",0.30000000000000004,"QR",0.6666666666666666,,"Top2Acceptability",0.254882352941176
"OppPrefs",7,51,0.15,2000,"Automatic",0.30000000000000004,"QR",0.6666666666666666,,"Gap",0.5173574876262758
"OppPrefs",7,51,0.15,2000,"Automatic",0.30000000000000004,"QR",0.6666666666666666,,"CondorcetEfficiency",0.39983235540653816
"OppPrefs",7,51,0.15,2000,"Automatic",0.30000000000000004,"QR",0.6666666666666666,,"CondorcetExistRate",0.5965
"OppPrefs",7,51,0.15,2000,"Automatic",0.30000000000000004,"QR",0.6666666666666666,,"MidScore",0.7925000000000002
"OppPrefs",7,51,0.15,2000,"Automatic",0.30000000000000004,"QR",0.8,,"Top1Acceptability",0.1127156862745096
"OppPrefs",7,51,0.15,2000,"Automatic",0.30000000000000004,"QR",0.8,,"Top2Acceptability",0.2446274509803917
"OppPrefs",7,51,0.15,2000,"Automatic",0.30000000000000004,"QR",0.8,,"Gap",0.5352428057665328
"OppPrefs",7,51,0.15,2000,"Automatic",0.30000000000000004,"QR",0.8,,"CondorcetEfficiency",0.3344509639564124
"OppPrefs",7,51,0.15,2000,"Automatic",0.30000000000000004,"QR",0.8,,"CondorcetExistRate",0.5965
"OppPrefs",7,51,0.15,2000,"Automatic",0.30000000000000004,"QR",0.8,,"MidScore",0.7701666666666671
"OppPrefs",7,51,0.15,2000,"Automatic",0.30000000000000004,"QR",0.95,,"Top1Acceptability",0.13626470588235273
"OppPrefs",7,51,0.15,2000,"Automatic",0.30000000000000004,"QR",0.95,,"Top2Acceptability",0.28045098039215655
"OppPrefs",7,51,0.15,2000,"Automatic",0.30000000000000004,"QR",0.95,,"Gap",0.5166795888222657
"OppPrefs",7,51,0.15,2000,"Automatic",0.30000000000000004,"QR",0.95,,"CondorcetEfficiency",0.24895222129086336
"OppPrefs",7,51,0.15,2000,"Automatic",0.30000000000000004,"QR",0.95,,"CondorcetExistRate",0.5965
"OppPrefs",7,51,0.15,2000,"Automatic",0.30000000000000004,"QR",0.95,,"MidScore",0.49883333333333324
"OppPrefs",7,51,0.15,2000,"Automatic",0.4,"QR",0.55,,"Top1Acceptability",0.11841176470588217
"OppPrefs",7,51,0.15,2000,"Automatic",0.4,"QR",0.55,,"Top2Acceptability",0.2417843137254897
"OppPrefs",7,51,0.15,2000,"Automatic",0.4,"QR",0.55,,"Gap",0.5124211154811397
"OppPrefs",7,51,0.15,2000,"Automatic",0.4,"QR",0.55,,"CondorcetEfficiency",0.4315525876460768
"OppPrefs",7,51,0.15,2000,"Automatic",0.4,"QR",0.55,,"CondorcetExistRate",0.599
"OppPrefs",7,51,0.15,2000,"Automatic",0.4,"QR",0.55,,"MidScore",0.7995
"OppPrefs",7,51,0.15,2000,"Automatic",0.4,"QR",0.6666666666666666,,"Top1Acceptability",0.10222549019607825
