"m","n","phi","Rule","CentralWinnerRate"
7,51,0.20600000000000002,"QR",0.9995
7,51,0.20600000000000002,"SDM",1
7,51,0.20600000000000002,"Plurality",1
7,51,0.30400000000000005,"Borda",1
7,51,0.30400000000000005,"Coombs",1
7,51,0.30400000000000005,"Fallback",0.735
7,51,0.30400000000000005,"QR",0.992
7,51,0.30400000000000005,"SDM",0.9985
7,51,0.30400000000000005,"Plurality",1
7,51,0.402,"Borda",0.995
7,51,0.402,"Coombs",0.998
7,51,0.402,"Fallback",0.6395
7,51,0.402,"QR",0.982
7,51,0.402,"SDM",0.988
7,51,0.402,"Plurality",0.998
7,51,0.5,"Borda",0.9835
7,51,0.5,"Coombs",0.9925
7,51,0.5,"Fallback",0.5515
7,51,0.5,"QR",0.9595
7,51,0.5,"SDM",0.958
7,51,0.5,"Plurality",0.9865
7,51,0.5980000000000001,"Borda",0.9405
7,51,0.5980000000000001,"Coombs",0.9735
7,51,0.5980000000000001,"Fallback",0.4185
7,51,0.5980000000000001,"QR",0.894
7,51,0.5980000000000001,"SDM",0.9055
7,51,0.5980000000000001,"Plurality",0.933
7,51,0.6960000000000001,"Borda",0.8595
7,51,0.6960000000000001,"Coombs",0.8955
7,51,0.6960000000000001,"Fallback",0.262
7,51,0.6960000000000001,"QR",0.812
7,51,0.6960000000000001,"SDM",0.839
7,51,0.6960000000000001,"Plurality",0.8145
7,51,0.794,"Borda",0.7255
7,51,0.794,"Coombs",0.74
7,51,0.794,"Fallback",0.18
7,51,0.794,"QR",0.662
7,51,0.794,"SDM",0.712
7,51,0.794,"Plurality",0.6335
7,51,0.892,"Borda",0.4935
7,51,0.892,"Coombs",0.4885
7,51,0.892,"Fallback",0.163
7,51,0.892,"QR",0.4485
7,51,0.892,"SDM",0.486
7,51,0.892,"Plurality",0.3905
7,51,0.99,"Borda",0.1835
7,51,0.99,"Coombs",0.1745
7,51,0.99,"Fallback",0.136
7,51,0.99,"QR",0.17
7,51,0.99,"SDM",0.1815
7,51,0.99,"Plurality",0.1785
10,51,0.01,"Borda",1
10,51,0.01,"Coombs",1
10,51,0.01,"Fallback",0.8805
10,51,0.01,"QR",1
10,51,0.01,"SDM",1
10,51,0.01,"Plurality",1
10,51,0.108,"Borda",1
10,51,0.108,"Coombs",1
10,51,0.108,"Fallback",0.8455
10,51,0.108,"QR",1
10,51,0.108,"SDM",1
10,51,0.108,"Plurality",1
10,51,0.20600000000000002,"Borda",1
10,51,0.20600000000000002,"Coombs",1
10,51,0.20600000000000002,"Fallback",0.7705
10,51,0.20600000000000002,"QR",1
10,51,0.20600000000000002,"SDM",1
10,51,0.20600000000000002,"Plurality",1
10,51,0.30400000000000005,"Borda",1
10,51,0.30400000000000005,"Coombs",1
10,51,0.30400000000000005,"Fallback",0.7115
10,51,0.30400000000000005,"QR",0.991
10,51,0.30400000000000005,"SDM",0.998
10,51,0.30400000000000005,"Plurality",1
10,51,0.402,"Borda",0.996
10,51,0.402,"Coombs",1
10,51,0.402,"Fallback",0.6545
10,51,0.402,"QR",0.986
10,51,0.402,"SDM",0.982
10,51,0.402,"Plurality",0.998
10,51,0.5,"Borda",0.973
10,51,0.5,"Coombs",0.99
10,51,0.5,"Fallback",0.589
10,51,0.5,"QR",0.951
10,51,0.5,"SDM",0.949
10,51,0.5,"Plurality",0.9755
10,51,0.5980000000000001,"Borda",0.9245
10,51,0.5980000000000001,"Coombs",0.964
10,51,0.5980000000000001,"Fallback",0.4965
10,51,0.5980000000000001,"QR",0.8875
10,51,0.5980000000000001,"SDM",0.8895
10,51,0.5980000000000001,"Plurality",0.9265
10,51,0.6960000000000001,"Borda",0.8375
10,51,0.6960000000000001,"Coombs",0.893
10,51,0.6960000000000001,"Fallback",0.391
10,51,0.6960000000000001,"QR",0.8025
10,51,0.6960000000000001,"SDM",0.8095
10,51,0.6960000000000001,"Plurality",0.8125
10,51,0.794,"Borda",0.7215
10,51,0.794,"Coombs",0.75
10,51,0.794,"Fallback",0.2455
10,51,0.794,"QR",0.6755
10,51,0.794,"SDM",0.6955
10,51,0.794,"Plurality",0.631
10,51,0.892,"Borda",0.5045
10,51,0.892,"Coombs",0.4815
10,51,0.892,"Fallback",0.1345
10,51,0.892,"QR",0.4555
10,51,0.892,"SDM",0.4885
10,51,0.892,"Plurality",0.3635
10,51,0.99,"Borda",0.1325
10,51,0.99,"Coombs",0.1255
10,51,0.99,"Fallback",0.0985
10,51,0.99,"QR",0.127
10,51,0.99,"SDM",0.1275
10,51,0.99,"Plurality",0.12
