"Model","m","n","phi","q","p","S","TopKList","MaxRank","Rule","Metric","Value"
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","CondorcetEfficiency",0.3250135648399349
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","MidScore",0.3415
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","Top1Acceptability",0.33280392156862726
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","Top2Acceptability",0.6652254901960782
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","Top3Acceptability",1.
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","NeverFirstRate",0.
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","NoiseFlipRate",0.282
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","CondorcetExistRate",0.757
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","CondorcetEfficiency",0.8513870541611624
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","MidScore",0.3855
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","Top1Acceptability",0.2545196078431368
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","Top2Acceptability",0.4768431372549018
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","Top3Acceptability",0.6747745098039213
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","NeverFirstRate",0.
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","NoiseFlipRate",0.4925
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","CondorcetExistRate",0.757
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","CondorcetEfficiency",0.5891677675033025
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","MidScore",0.38425
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","Top1Acceptability",0.27595098039215654
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","Top2Acceptability",0.4549019607843136
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","Top3Acceptability",0.6360196078431373
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","NeverFirstRate",0.
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","NoiseFlipRate",0.4155
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","CondorcetExistRate",0.757
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","CondorcetEfficiency",0.8989431968295905
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","MidScore",0.402
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","Top1Acceptability",0.24399019607843092
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","Top2Acceptability",0.46617647058823514
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","Top3Acceptability",0.6685588235294118
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","NeverFirstRate",0.
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","NoiseFlipRate",0.3915
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","CondorcetExistRate",0.757
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","CondorcetEfficiency",0.6605019815059445
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","MidScore",0.40175
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","Top1Acceptability",0.2268725490196074
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","Top2Acceptability",0.4533235294117645
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","Top3Acceptability",0.6810588235294116
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","NeverFirstRate",0.
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","NoiseFlipRate",0.271
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","CondorcetExistRate",0.757
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","CondorcetEfficiency",0.8117569352708058
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","MidScore",0.39
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","Top1Acceptability",0.24392156862745054
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","Top2Acceptability",0.47243137254901946
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","Top3Acceptability",0.678362745098039
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","NeverFirstRate",0.
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","NoiseFlipRate",0.792
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","CondorcetExistRate",0.757
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","CondorcetEfficiency",0.20343461030383092
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","MidScore",0.3845
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","Top1Acceptability",0.2015294117647055
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","Top2Acceptability",0.4013431372549018
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","Top3Acceptability",0.600313725490196
