"Model","m","n","phi","S","MaxRank","lambda","Rule","q","p","Metric","Value"
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.55,,"Top2Acceptability",0.19646078431372516
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.55,,"Gap",0.5340576175877788
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.55,,"CondorcetEfficiency",0.33801580333625986
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.55,,"CondorcetExistRate",0.5695
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.55,,"MidScore",0.8741666666666668
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.6,,"Top1Acceptability",0.07982352941176458
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.6,,"Top2Acceptability",0.17133333333333303
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.6,,"Gap",0.5343717195016041
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.6,,"CondorcetEfficiency",0.2405618964003512
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.6,,"CondorcetExistRate",0.5695
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.6,,"MidScore",0.9416666666666668
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.6666666666666666,,"Top1Acceptability",0.07666666666666655
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.6666666666666666,,"Top2Acceptability",0.16559803921568597
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.6666666666666666,,"Gap",0.5344861863154668
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.6666666666666666,,"CondorcetEfficiency",0.21422300263388938
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.6666666666666666,,"CondorcetExistRate",0.5695
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.6666666666666666,,"MidScore",0.9461666666666669
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.7,,"Top1Acceptability",0.07774509803921556
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.7,,"Top2Acceptability",0.16962745098039184
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.7,,"Gap",0.5390010279688492
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.7,,"CondorcetEfficiency",0.2405618964003512
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.7,,"CondorcetExistRate",0.5695
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.7,,"MidScore",0.9138333333333337
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.75,,"Top1Acceptability",0.08007843137254889
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.75,,"Top2Acceptability",0.17871568627450946
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.75,,"Gap",0.5500151592688357
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.75,,"CondorcetEfficiency",0.2976294995610184
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.75,,"CondorcetExistRate",0.5695
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.75,,"MidScore",0.8483333333333338
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.8,,"Top1Acceptability",0.0807254901960783
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.8,,"Top2Acceptability",0.17972549019607809
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.8,,"Gap",0.5483265043242791
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.8,,"CondorcetEfficiency",0.2993854258121159
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.8,,"CondorcetExistRate",0.5695
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.8,,"MidScore",0.8320000000000005
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.85,,"Top1Acceptability",0.08203921568627437
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.85,,"Top2Acceptability",0.1955588235294114
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.85,,"Gap",0.5667333673939804
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.85,,"CondorcetEfficiency",0.3292361720807726
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.85,,"CondorcetExistRate",0.5695
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.85,,"MidScore",0.7886666666666671
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.9,,"Top1Acceptability",0.08419607843137242
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.9,,"Top2Acceptability",0.21252941176470552
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.9,,"Gap",0.5812137197364263
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.9,,"CondorcetEfficiency",0.33362598770851626
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.9,,"CondorcetExistRate",0.5695
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.9,,"MidScore",0.727166666666667
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.55,,"Top1Acceptability",0.03913725490196074
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.55,,"Top2Acceptability",0.08849019607843123
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.55,,"Gap",0.5710503793700242
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.55,,"CondorcetEfficiency",0.16019900497512438
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.55,,"CondorcetExistRate",0.5025
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.55,,"MidScore",0.9676666666666668
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.6,,"Top1Acceptability",0.03074509803921565
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.6,,"Top2Acceptability",0.0743333333333332
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.6,,"Gap",0.5754688492063492
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.6,,"CondorcetEfficiency",0.1154228855721393
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.6,,"CondorcetExistRate",0.5025
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.6,,"MidScore",0.9971666666666668
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.6666666666666666,,"Top1Acceptability",0.030705882352941142
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.6666666666666666,,"Top2Acceptability",0.07431372549019596
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.6666666666666666,,"Gap",0.5764498015873016
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.6666666666666666,,"CondorcetEfficiency",0.11442786069651742
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.6666666666666666,,"CondorcetExistRate",0.5025
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.6666666666666666,,"MidScore",0.9973333333333334
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.7,,"Top1Acceptability",0.031107843137254867
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.7,,"Top2Acceptability",0.07552941176470576
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.7,,"Gap",0.577450351037851
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.7,,"CondorcetEfficiency",0.11840796019900497
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.7,,"CondorcetExistRate",0.5025
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.7,,"MidScore",0.9910000000000001
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.75,,"Top1Acceptability",0.03299019607843133
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.75,,"Top2Acceptability",0.08156862745098026
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.75,,"Gap",0.5784294275169275
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.75,,"CondorcetEfficiency",0.14626865671641792
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.75,,"CondorcetExistRate",0.5025
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.75,,"MidScore",0.9595000000000002
