"Model","m","n","phi","q","p","S","TopKList","MaxRank","Rule","Metric","Value"
"Mallows",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","Top1Acceptability",0.7102156862745094
"Mallows",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","Top2Acceptability",0.9470196078431368
"Mallows",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","Top3Acceptability",0.9951372549019607
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","NeverFirstRate",0.
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","NoiseFlipRate",0.
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","CondorcetExistRate",1.
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","CondorcetEfficiency",1.
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","MidScore",0.
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","Top1Acceptability",0.8500686274509797
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","Top2Acceptability",0.9773627450980387
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","Top3Acceptability",0.9967254901960785
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","NeverFirstRate",0.
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","NoiseFlipRate",0.
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","CondorcetExistRate",1.
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","CondorcetEfficiency",1.
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","MidScore",0.
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","Top1Acceptability",0.8500686274509797
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","Top2Acceptability",0.9773627450980387
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","Top3Acceptability",0.9967254901960785
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","NeverFirstRate",0.
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","NoiseFlipRate",0.
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","CondorcetExistRate",1.
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","CondorcetEfficiency",1.
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","MidScore",0.
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","Top1Acceptability",0.8500686274509797
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","Top2Acceptability",0.9773627450980387
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","Top3Acceptability",0.9967254901960785
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","NeverFirstRate",0.
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","NoiseFlipRate",0.001
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","CondorcetExistRate",1.
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","CondorcetEfficiency",1.
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","MidScore",0.
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","Top1Acceptability",0.8500686274509797
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","Top2Acceptability",0.9773627450980387
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","Top3Acceptability",0.9967254901960785
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","NeverFirstRate",0.
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","NoiseFlipRate",0.
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","CondorcetExistRate",1.
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","CondorcetEfficiency",1.
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","MidScore",0.
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","Top1Acceptability",0.8500686274509797
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","Top2Acceptability",0.9773627450980387
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","Top3Acceptability",0.9967254901960785
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","NeverFirstRate",0.0065
